FIPS,County,countyname,County,fatalcounts,population2019,RuralProp,Rural,Urban,UninsuredProp,HighSchool,SomeCollege,Unempoyment,ViolentCrime,AAprop,MentalHealthDays,Smoking_Rate,AgeAbove65,AgeBelow18,Female_Prop,lat,lon
37001,Alamance,alamance,Alamance County,7,169509,0.28558006,0,1,0.139347757,0.813,0.612876145,0.043037848,381.7981009,0.196082295,4.28493894,0.187907647,0.167570863,0.225732953,0.523705131,36.043953,-79.400574
37003,Alexander,alexander,Alexander County,2,37497,0.727781064,1,0,0.129206626,0.851,0.432661949,0.036731098,192.5485074,0.057876951,4.197910167,0.185845991,0.198600011,0.203722577,0.492302741,35.920952,-81.177467
37005,Alleghany,alleghany,Alleghany County,0,11137,1,1,0,0.168047189,0.92,0.499755979,0.051572618,140.2032948,0.015411114,4.256063704,0.185152084,0.268334693,0.173873629,0.502221014,36.489357,-81.132301
37007,Anson,anson,Anson County,2,24446,0.785104646,1,0,0.132251587,0.837,0.467581776,0.053105737,427.5501145,0.483814173,4.312534443,0.218517011,0.177864031,0.197030931,0.477691969,34.974972,-80.109764
37009,Ashe,ashe,Ashe County,2,27203,0.848649243,1,0,0.161323938,0.868,0.591254432,0.041781415,81.24676859,0.007567608,4.124124846,0.16949774,0.249360092,0.178914568,0.507252291,36.44347,-81.499336
37011,Avery,avery,Avery County,3,17557,0.887846266,1,0,0.184853491,0.94,0.534294452,0.043523451,173.8223536,0.044137774,4.153998039,0.188038296,0.212078011,0.153740876,0.45466469,36.07209,-81.920288
37013,Beaufort,beaufort,Beaufort County,1,46994,0.65600201,1,0,0.130176539,0.829,0.537307421,0.051343284,297.6348658,0.24537037,4.131609389,0.179958088,0.233137955,0.205190282,0.523275569,35.482311,-76.84201
37015,Bertie,bertie,Bertie County,5,18947,0.83244056,1,0,0.12771855,0.841,0.434514965,0.060780237,168.9359556,0.610018727,4.226045147,0.196116782,0.218476904,0.179151061,0.497971286,36.059044,-76.962364
37017,Bladen,bladen,Bladen County,1,32722,0.912333049,1,0,0.166358456,0.895,0.530775076,0.059673627,223.9320165,0.336579246,4.585096798,0.212432004,0.20753928,0.208883446,0.523298883,34.591938,-78.53949
37019,Brunswick,brunswick,Brunswick County,4,142820,0.42960598,0,1,0.146117594,0.843,0.62412917,0.056613715,141.4328369,0.102561556,3.931830067,0.152336877,0.304896216,0.157910418,0.520707121,34.038754,-78.227768
37021,Buncombe,buncombe,Buncombe County,7,261191,0.240795911,0,1,0.113344055,0.880484429,0.709462546,0.03487744,263.2812639,0.060918376,3.846789753,0.164425284,0.1938379,0.18806166,0.520498278,35.609371,-82.530426
37023,Burke,burke,Burke County,5,90485,0.426522351,0,1,0.141907696,0.885,0.511170084,0.042775478,178.6921112,0.060329477,4.12132214,0.197248282,0.199276539,0.192131522,0.504541229,35.746181,-81.706177
37025,Cabarrus,cabarrus,Cabarrus County,7,216453,0.192533046,0,1,0.097909495,0.888378049,0.710942669,0.041560108,117.1797876,0.175243629,3.825675337,0.16828946,0.130012762,0.258913724,0.512568158,35.388348,-80.552727
37027,Caldwell,caldwell,Caldwell County,1,82178,0.344277301,0,1,0.138857937,0.885,0.531265018,0.045198204,168.5987841,0.04666935,4.191622682,0.183859584,0.193471658,0.204742562,0.505848916,35.966396,-81.512543
37029,Camden,camden,Camden County,8,10867,0.995490982,1,0,0.102897895,0.834,0.688950059,0.04465812,63.00586439,0.117191192,3.794951001,0.160675081,0.157357528,0.233626311,0.499291182,36.342342,-76.162491
